"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","25.4","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.6","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.8","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.26","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","58.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","68.2","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","67.7","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","68.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.1","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.7","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.9","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.3","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","59.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","67.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","66.5","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","68.4","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.7","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.8","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.99","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.41","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","60.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","67.2","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","66.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","68.1","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","27.3","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.9","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.04","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.49","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","61.4","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","66.95","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","66.1","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2017","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","67.8","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","27.8","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.08","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.57","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","62.4","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","66.75","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","66","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2016","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","67.5","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.1","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.8","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.92","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.65","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","64.6","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","66.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","65.8","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2015","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","67.2","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.4","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.9","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.95","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.72","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","66.1","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","66.25","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","65.6","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2014","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","66.9","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.8","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.97","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.8","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","67.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","66","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","65.4","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2013","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","66.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","27.2","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7.2","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.87","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","69","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","65.75","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","65.2","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2012","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","66.3","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","27.5","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7.3","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.03","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.93","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","70.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","65.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","65","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2011","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","66","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","28","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7.4","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.05","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","72","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","65.3","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","64.8","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2010","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","65.8","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","28.4","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7.6","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.08","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.07","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","73.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","65.05","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","64.6","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2009","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","65.5","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","25","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","7.7","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.73","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.13","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","70.2","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","64.8","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","64.4","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2008","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","65.2","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2007","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","25.5","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
