"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Health Indicators of Pakistan","31-Dec-1978","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","56.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1978","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","56.1","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1978","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","57","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","40.6","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.7","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.6","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","100","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","56.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","56.1","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1977","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","57","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","42.8","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","11.5","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3.1","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.9","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","87","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","56.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","56.1","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1976","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","57","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","37","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","11","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.6","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.2","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","106","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.6","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","53.6","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1971","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","47.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","","Number","Missing value","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","","Number","Missing value","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","","Percent","Missing value","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","","Number","Missing value","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","109","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.6","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","53.6","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1970","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","47.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","36","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","12","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.4","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.7","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","111","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.6","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","53.6","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1969","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","47.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","36","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","12","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.4","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.6","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","124","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.6","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","53.6","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1968","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","47.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","","Number","Missing value","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","","Number","Missing value","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","","Percent","Missing value","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","","Number","Missing value","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","121","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","","Number","Missing value","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1967","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","41","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","13","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.8","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.5","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","136","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","52.4","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1964","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","48.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","38.8","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","11","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.7","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.8","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","136","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","52.4","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1963","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","48.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","37","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","12","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.5","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.5","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","136","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","50.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","52.4","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1962","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","48.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","51","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","","Number","Missing value","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","","Percent","Missing value","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","","Number","Missing value","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","131","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","38.7","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1961","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","62.4","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","","Number","Missing value","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","","Percent","Missing value","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","","Number","Missing value","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","","Number","Missing value","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","33.8","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","33.8","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1951","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","50","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","30","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","","Number","Missing value","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","165","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","","Number","Missing value","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1947","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
